sweep,acceptance,plaquette
1,0.552083,0.933106
2,0.515625,0.891185
3,0.557292,0.854046
4,0.604167,0.832215
5,0.604167,0.799174
6,0.604167,0.775733
7,0.515625,0.780675
8,0.609375,0.781573
9,0.651042,0.774063
10,0.661458,0.760341
11,0.598958,0.765488
12,0.625,0.733617
13,0.635417,0.753896
14,0.578125,0.744125
15,0.619792,0.738101
16,0.625,0.728847
17,0.630208,0.719716
18,0.567708,0.738555
19,0.65625,0.734295
20,0.572917,0.728726
21,0.583333,0.736644
22,0.625,0.763588
23,0.645833,0.765019
24,0.609375,0.778585
25,0.59375,0.769761
26,0.625,0.773064
27,0.598958,0.775478
28,0.552083,0.789544
29,0.588542,0.767809
30,0.640625,0.765565
31,0.635417,0.753178
32,0.614583,0.745579
33,0.557292,0.760061
34,0.583333,0.750471
35,0.583333,0.763526
36,0.604167,0.76113
37,0.614583,0.778806
38,0.588542,0.769412
39,0.630208,0.762834
40,0.59375,0.751443
41,0.640625,0.745869
42,0.5625,0.747772
43,0.546875,0.741791
44,0.572917,0.745299
45,0.59375,0.749685
46,0.567708,0.75338
47,0.578125,0.747095
48,0.645833,0.743848
49,0.625,0.758906
50,0.609375,0.757678
51,0.614583,0.753882
52,0.604167,0.758882
53,0.609375,0.751232
54,0.578125,0.758796
55,0.609375,0.760615
56,0.567708,0.754024
57,0.5625,0.736831
58,0.609375,0.739834
59,0.65625,0.751695
60,0.630208,0.769103
61,0.598958,0.753391
62,0.567708,0.734835
63,0.557292,0.744701
64,0.567708,0.744152
65,0.630208,0.736897
66,0.59375,0.735154
67,0.578125,0.736275
68,0.567708,0.730602
69,0.65625,0.752845
70,0.572917,0.732086
71,0.666667,0.732274
72,0.609375,0.731732
73,0.677083,0.725046
74,0.635417,0.704582
75,0.609375,0.708547
76,0.625,0.710576
77,0.65625,0.699499
78,0.609375,0.712538
79,0.635417,0.725779
80,0.614583,0.7409
81,0.609375,0.74471
82,0.557292,0.752505
83,0.552083,0.752419
84,0.583333,0.760822
85,0.5625,0.743068
86,0.6875,0.752936
87,0.552083,0.741153
88,0.583333,0.737233
89,0.598958,0.740678
90,0.578125,0.719685
91,0.59375,0.723729
92,0.614583,0.722551
93,0.578125,0.71737
94,0.65625,0.731124
95,0.651042,0.734465
96,0.609375,0.724397
97,0.625,0.748654
98,0.65625,0.750337
99,0.567708,0.753988
100,0.635417,0.754349
101,0.614583,0.740237
102,0.59375,0.739141
103,0.609375,0.734674
104,0.666667,0.749158
105,0.645833,0.751968
106,0.604167,0.739488
107,0.635417,0.732142
108,0.614583,0.729119
109,0.619792,0.726177
110,0.651042,0.731889
111,0.604167,0.743769
112,0.697917,0.720112
113,0.588542,0.726562
114,0.619792,0.725253
115,0.661458,0.721826
116,0.588542,0.724853
117,0.65625,0.723997
118,0.619792,0.723542
119,0.708333,0.744186
120,0.609375,0.737342
121,0.604167,0.74497
122,0.567708,0.727235
123,0.583333,0.723994
124,0.651042,0.717067
125,0.598958,0.720692
126,0.635417,0.726511
127,0.65625,0.72738
128,0.630208,0.731409
129,0.588542,0.74314
130,0.640625,0.741573
131,0.609375,0.752772
132,0.671875,0.739798
133,0.572917,0.739887
134,0.661458,0.745074
135,0.645833,0.748062
136,0.5625,0.745265
137,0.614583,0.744751
138,0.614583,0.751574
139,0.651042,0.74041
140,0.588542,0.744722
141,0.598958,0.714874
142,0.635417,0.735308
143,0.588542,0.73512
144,0.53125,0.727899
145,0.625,0.724038
146,0.640625,0.72368
147,0.635417,0.716398
148,0.614583,0.723283
149,0.703125,0.724519
150,0.604167,0.715251
151,0.645833,0.717021
152,0.583333,0.728399
153,0.598958,0.719795
154,0.583333,0.725907
155,0.609375,0.717687
156,0.598958,0.722226
157,0.546875,0.708809
158,0.578125,0.700468
159,0.625,0.698293
160,0.614583,0.697665
161,0.546875,0.713233
162,0.671875,0.713342
163,0.604167,0.705636
164,0.651042,0.702132
165,0.59375,0.706285
166,0.640625,0.709946
167,0.625,0.699384
168,0.640625,0.707834
169,0.598958,0.712183
170,0.59375,0.723079
171,0.635417,0.735779
172,0.59375,0.72681
173,0.661458,0.733984
174,0.619792,0.747217
175,0.59375,0.742322
176,0.588542,0.7403
177,0.65625,0.726847
178,0.635417,0.73116
179,0.609375,0.74179
180,0.526042,0.725168
181,0.666667,0.714434
182,0.578125,0.710115
183,0.635417,0.702911
184,0.640625,0.719979
185,0.604167,0.730939
186,0.640625,0.715356
187,0.604167,0.707824
188,0.557292,0.706624
189,0.619792,0.722634
190,0.557292,0.728056
191,0.651042,0.740294
192,0.567708,0.734361
193,0.59375,0.737958
194,0.567708,0.733752
195,0.552083,0.722272
196,0.510417,0.722802
197,0.651042,0.733021
198,0.53125,0.745183
199,0.520833,0.728781
200,0.677083,0.7176
201,0.614583,0.735512
202,0.625,0.728359
203,0.583333,0.739504
204,0.604167,0.742247
205,0.661458,0.730007
206,0.609375,0.710235
207,0.65625,0.707887
208,0.557292,0.721711
209,0.635417,0.719189
210,0.598958,0.705043
211,0.708333,0.710098
212,0.59375,0.692566
213,0.567708,0.670398
214,0.630208,0.679328
215,0.619792,0.675275
216,0.630208,0.680865
217,0.635417,0.703046
218,0.604167,0.705344
219,0.598958,0.703976
220,0.572917,0.709995
221,0.6875,0.715556
222,0.625,0.723389
223,0.635417,0.724979
224,0.59375,0.727213
225,0.598958,0.722949
226,0.609375,0.712046
227,0.567708,0.705109
228,0.609375,0.702184
229,0.640625,0.697347
230,0.625,0.714092
231,0.609375,0.710077
232,0.630208,0.712199
233,0.619792,0.715562
234,0.661458,0.713578
235,0.567708,0.725767
236,0.619792,0.709926
237,0.630208,0.708933
238,0.651042,0.713526
239,0.541667,0.713818
240,0.651042,0.707167
241,0.671875,0.69681
242,0.635417,0.70284
243,0.645833,0.706222
244,0.619792,0.710841
245,0.614583,0.71168
246,0.635417,0.71896
247,0.59375,0.734202
248,0.645833,0.718598
249,0.625,0.717115
250,0.588542,0.712534
251,0.682292,0.715596
252,0.625,0.724218
253,0.572917,0.726684
254,0.604167,0.734664
255,0.640625,0.711265
