sweep,acceptance,plaquette
1,0.510417,0.933469
2,0.588542,0.897524
3,0.65625,0.854717
4,0.557292,0.834221
5,0.5625,0.824247
6,0.645833,0.815897
7,0.614583,0.800616
8,0.65625,0.791825
9,0.588542,0.768605
10,0.604167,0.762169
11,0.630208,0.748439
12,0.635417,0.721996
13,0.619792,0.727997
14,0.578125,0.743477
15,0.630208,0.739082
16,0.697917,0.726916
17,0.619792,0.714481
18,0.640625,0.725729
19,0.609375,0.728542
20,0.635417,0.706235
21,0.651042,0.691532
22,0.588542,0.67731
23,0.692708,0.688035
24,0.59375,0.687755
25,0.6875,0.699716
26,0.604167,0.683588
27,0.598958,0.674969
28,0.692708,0.681781
29,0.671875,0.685779
30,0.625,0.682343
31,0.630208,0.679776
32,0.598958,0.671374
33,0.619792,0.681082
34,0.609375,0.683923
35,0.619792,0.681142
36,0.661458,0.691255
37,0.640625,0.696044
38,0.59375,0.691392
39,0.604167,0.684385
40,0.635417,0.690864
41,0.604167,0.684676
42,0.614583,0.689279
43,0.630208,0.681026
44,0.661458,0.68895
45,0.645833,0.700881
46,0.635417,0.722016
47,0.645833,0.720813
48,0.651042,0.708223
49,0.640625,0.709295
50,0.625,0.718147
51,0.661458,0.703381
52,0.692708,0.687243
53,0.723958,0.669004
54,0.598958,0.656499
55,0.588542,0.66427
56,0.692708,0.670415
57,0.651042,0.649595
58,0.651042,0.647486
59,0.630208,0.668145
60,0.71875,0.668683
61,0.682292,0.678503
62,0.598958,0.679226
63,0.625,0.676071
64,0.645833,0.667043
65,0.666667,0.665102
66,0.645833,0.662588
67,0.671875,0.674892
68,0.65625,0.660544
69,0.598958,0.662007
70,0.661458,0.659046
71,0.619792,0.675885
72,0.609375,0.656882
73,0.552083,0.653537
74,0.635417,0.649639
75,0.625,0.650738
76,0.651042,0.659146
77,0.697917,0.654679
78,0.65625,0.649231
79,0.630208,0.651686
80,0.625,0.669359
81,0.666667,0.685635
82,0.635417,0.673582
83,0.661458,0.661286
84,0.661458,0.674156
85,0.604167,0.667441
86,0.630208,0.674533
87,0.630208,0.677715
88,0.671875,0.681392
89,0.59375,0.683616
90,0.661458,0.683002
91,0.671875,0.679303
92,0.609375,0.682846
93,0.625,0.679806
94,0.598958,0.698962
95,0.635417,0.704058
96,0.583333,0.705738
97,0.671875,0.702682
98,0.640625,0.706158
99,0.614583,0.716053
100,0.708333,0.689154
101,0.614583,0.673801
102,0.708333,0.680552
103,0.651042,0.677781
104,0.59375,0.674405
105,0.546875,0.682633
106,0.598958,0.681941
107,0.661458,0.681148
108,0.645833,0.687673
109,0.651042,0.718489
110,0.645833,0.718816
111,0.635417,0.717621
112,0.692708,0.705929
113,0.588542,0.718733
114,0.635417,0.722786
115,0.697917,0.724314
116,0.651042,0.702304
117,0.677083,0.707914
118,0.651042,0.70784
119,0.598958,0.70907
120,0.635417,0.705088
121,0.625,0.690996
122,0.645833,0.693411
123,0.583333,0.713206
124,0.614583,0.725228
125,0.651042,0.733848
126,0.677083,0.732892
127,0.645833,0.736682
128,0.651042,0.720192
129,0.65625,0.705926
130,0.630208,0.703065
131,0.614583,0.693287
132,0.65625,0.688262
133,0.630208,0.693515
134,0.682292,0.69032
135,0.713542,0.710862
136,0.578125,0.713002
137,0.682292,0.715851
138,0.5625,0.719567
139,0.645833,0.740528
140,0.666667,0.730068
141,0.625,0.717341
142,0.604167,0.699637
143,0.598958,0.690837
144,0.671875,0.693635
145,0.645833,0.700266
146,0.609375,0.702096
147,0.572917,0.712948
148,0.635417,0.701317
149,0.671875,0.695077
150,0.713542,0.691846
151,0.614583,0.699482
152,0.645833,0.713657
153,0.630208,0.673774
154,0.635417,0.685677
155,0.604167,0.679458
156,0.65625,0.667082
157,0.609375,0.668624
158,0.65625,0.658516
159,0.666667,0.655619
160,0.59375,0.668555
161,0.65625,0.682406
162,0.614583,0.653855
163,0.645833,0.657907
164,0.692708,0.658048
165,0.635417,0.663549
166,0.677083,0.670074
167,0.645833,0.665793
168,0.614583,0.670707
169,0.619792,0.681317
170,0.651042,0.668626
171,0.666667,0.663813
172,0.645833,0.676531
173,0.635417,0.687013
174,0.588542,0.703225
175,0.625,0.692512
176,0.697917,0.693416
177,0.614583,0.673122
178,0.666667,0.658866
179,0.588542,0.655102
180,0.588542,0.691443
181,0.671875,0.689765
182,0.572917,0.660824
183,0.635417,0.644061
184,0.661458,0.659848
185,0.614583,0.657775
186,0.625,0.6585
187,0.661458,0.635267
188,0.630208,0.646684
