sweep,R,T,W
510,1,1,0.704485
510,1,2,0.474103
510,1,3,0.327912
510,2,1,0.537267
510,2,2,0.324626
510,2,3,0.22201
520,1,1,0.722144
520,1,2,0.523439
520,1,3,0.407308
520,2,1,0.584194
520,2,2,0.391265
520,2,3,0.297022
530,1,1,0.669432
530,1,2,0.515583
530,1,3,0.403069
530,2,1,0.50233
530,2,2,0.377854
530,2,3,0.274818
540,1,1,0.730343
540,1,2,0.603532
540,1,3,0.485798
540,2,1,0.572794
540,2,2,0.406941
540,2,3,0.308013
550,1,1,0.670623
550,1,2,0.458104
550,1,3,0.340161
550,2,1,0.445355
550,2,2,0.261937
550,2,3,0.273479
560,1,1,0.669873
560,1,2,0.419284
560,1,3,0.245109
560,2,1,0.505804
560,2,2,0.257599
560,2,3,0.136488
570,1,1,0.706924
570,1,2,0.497545
570,1,3,0.355028
570,2,1,0.532253
570,2,2,0.311179
570,2,3,0.215332
580,1,1,0.71361
580,1,2,0.569047
580,1,3,0.449442
580,2,1,0.550137
580,2,2,0.38744
580,2,3,0.25692
590,1,1,0.696422
590,1,2,0.464725
590,1,3,0.328033
590,2,1,0.486642
590,2,2,0.191814
590,2,3,0.0808317
600,1,1,0.690322
600,1,2,0.440655
600,1,3,0.306649
600,2,1,0.502167
600,2,2,0.178222
600,2,3,0.0512521
610,1,1,0.659985
610,1,2,0.431072
610,1,3,0.299598
610,2,1,0.449746
610,2,2,0.213295
610,2,3,0.110403
620,1,1,0.656594
620,1,2,0.465494
620,1,3,0.352044
620,2,1,0.44463
620,2,2,0.248576
620,2,3,0.187071
630,1,1,0.671502
630,1,2,0.524762
630,1,3,0.380289
630,2,1,0.477587
630,2,2,0.261588
630,2,3,0.161753
640,1,1,0.650731
640,1,2,0.396192
640,1,3,0.205831
640,2,1,0.432785
640,2,2,0.152955
640,2,3,0.0556124
650,1,1,0.705889
650,1,2,0.470372
650,1,3,0.290287
650,2,1,0.540049
650,2,2,0.280646
650,2,3,0.136157
660,1,1,0.689373
660,1,2,0.549269
660,1,3,0.446875
660,2,1,0.501765
660,2,2,0.357152
660,2,3,0.250533
670,1,1,0.717592
670,1,2,0.524283
670,1,3,0.432123
670,2,1,0.560139
670,2,2,0.355915
670,2,3,0.260552
680,1,1,0.714919
680,1,2,0.496649
680,1,3,0.339577
680,2,1,0.522256
680,2,2,0.278159
680,2,3,0.198169
690,1,1,0.6736
690,1,2,0.446095
690,1,3,0.303343
690,2,1,0.489554
690,2,2,0.254486
690,2,3,0.154154
700,1,1,0.719992
700,1,2,0.567826
700,1,3,0.395216
700,2,1,0.536942
700,2,2,0.366166
700,2,3,0.243129
710,1,1,0.69989
710,1,2,0.484593
710,1,3,0.388896
710,2,1,0.506688
710,2,2,0.269304
710,2,3,0.197136
720,1,1,0.665786
720,1,2,0.500237
720,1,3,0.350309
720,2,1,0.44587
720,2,2,0.262081
720,2,3,0.106044
