sweep,acceptance,plaquette
1,0.464193,0.944917
2,0.498047,0.909372
3,0.524089,0.883921
4,0.497396,0.86969
5,0.527995,0.853478
6,0.532552,0.84266
7,0.557943,0.835161
8,0.548177,0.827681
9,0.55599,0.822514
10,0.556641,0.815943
11,0.539714,0.811844
12,0.559896,0.806965
13,0.556641,0.804828
14,0.55599,0.800374
15,0.55013,0.795166
16,0.53776,0.795916
17,0.540365,0.799821
18,0.545573,0.799447
19,0.561849,0.796852
20,0.555339,0.798741
21,0.540365,0.793143
22,0.539062,0.790589
23,0.591797,0.794678
24,0.5625,0.797737
25,0.5625,0.802778
26,0.557943,0.801849
27,0.540365,0.800041
28,0.5625,0.802292
29,0.567708,0.800194
30,0.56901,0.803546
31,0.555339,0.800378
32,0.551432,0.796527
33,0.545573,0.798963
34,0.53776,0.79832
35,0.551432,0.793109
36,0.554036,0.793851
37,0.554036,0.790652
38,0.549479,0.795912
39,0.567708,0.796104
40,0.559896,0.791967
41,0.546224,0.788149
42,0.582031,0.787184
43,0.547526,0.786807
44,0.575521,0.78391
45,0.551432,0.783354
46,0.560547,0.782515
47,0.559896,0.793624
48,0.583333,0.792859
49,0.567708,0.793229
50,0.552734,0.793379
51,0.554036,0.79308
52,0.553385,0.788533
53,0.566406,0.788322
54,0.572917,0.789008
55,0.552734,0.786558
56,0.533203,0.786835
57,0.551432,0.787167
58,0.580078,0.785468
59,0.55599,0.788469
60,0.548177,0.792182
61,0.552083,0.7927
62,0.565755,0.791583
63,0.546875,0.786567
64,0.541667,0.79213
65,0.560547,0.788052
66,0.567708,0.791035
67,0.575521,0.791856
68,0.548177,0.792864
69,0.554036,0.797125
70,0.568359,0.8017
71,0.549479,0.804243
72,0.573568,0.801918
73,0.564453,0.796605
74,0.53125,0.796871
75,0.522135,0.7973
76,0.563802,0.793539
77,0.556641,0.793701
78,0.526042,0.795599
79,0.603516,0.794033
80,0.557292,0.790162
81,0.548177,0.789548
82,0.557943,0.78592
83,0.550781,0.788439
84,0.551432,0.785088
85,0.577474,0.78649
86,0.558594,0.790106
87,0.540365,0.786002
88,0.571615,0.791005
89,0.561849,0.792093
90,0.560547,0.79484
91,0.567057,0.792502
92,0.538411,0.787951
93,0.561198,0.795403
94,0.540365,0.792221
95,0.554688,0.783745
96,0.545573,0.787839
97,0.558594,0.78345
98,0.552083,0.779831
99,0.564453,0.779497
100,0.547526,0.78122
101,0.572266,0.780694
102,0.55599,0.781967
103,0.564453,0.787025
104,0.542969,0.78819
105,0.546875,0.788523
106,0.534505,0.796135
107,0.571615,0.797506
108,0.539714,0.798104
109,0.567708,0.792182
110,0.559245,0.787934
111,0.552083,0.79468
112,0.534505,0.795447
113,0.560547,0.797625
114,0.557943,0.798576
115,0.546224,0.790248
116,0.546224,0.790067
117,0.570312,0.789243
118,0.545573,0.791435
119,0.545573,0.795094
120,0.547526,0.788044
121,0.552083,0.788028
122,0.527995,0.793219
123,0.531901,0.791253
124,0.554688,0.787402
125,0.552083,0.788979
126,0.564453,0.790182
127,0.574219,0.789108
128,0.559896,0.791522
129,0.559245,0.792422
130,0.566406,0.789011
131,0.555339,0.788191
132,0.566406,0.790237
133,0.541016,0.790442
134,0.542969,0.790398
135,0.549479,0.785748
136,0.541667,0.786082
137,0.541667,0.788303
138,0.569661,0.788946
139,0.577474,0.785732
140,0.541016,0.784411
141,0.548828,0.784655
142,0.561849,0.790006
143,0.529948,0.788275
144,0.559245,0.783178
145,0.552083,0.785245
146,0.567057,0.779304
147,0.544271,0.779027
148,0.561849,0.778615
149,0.559245,0.776954
150,0.5625,0.771207
151,0.578776,0.782588
152,0.530599,0.777612
153,0.556641,0.779439
154,0.575521,0.786744
155,0.567708,0.787315
156,0.572266,0.789431
157,0.566406,0.789997
158,0.554036,0.787363
159,0.542969,0.787555
160,0.563151,0.787511
161,0.540365,0.782386
162,0.561198,0.784303
163,0.561849,0.781197
164,0.542969,0.782192
165,0.557292,0.783796
166,0.533854,0.782834
167,0.559896,0.786805
168,0.571615,0.788817
169,0.547526,0.787224
170,0.555339,0.785392
171,0.556641,0.783214
172,0.541016,0.785379
173,0.560547,0.788438
174,0.557292,0.786653
175,0.549479,0.786482
176,0.547526,0.787095
177,0.550781,0.785524
178,0.565104,0.782545
179,0.578776,0.784432
180,0.567708,0.787866
181,0.538411,0.791394
182,0.559896,0.780544
183,0.55013,0.7875
184,0.539062,0.784829
185,0.565104,0.786039
