sweep,R,T,W
1020,1,1,0.792473
1020,1,2,0.637064
1020,1,3,0.51694
1020,1,4,0.416523
1020,2,1,0.647166
1020,2,2,0.451347
1020,2,3,0.31912
1020,2,4,0.221553
1020,3,1,0.522508
1020,3,2,0.314218
1020,3,3,0.174524
1020,3,4,0.106019
1040,1,1,0.797131
1040,1,2,0.647467
1040,1,3,0.524567
1040,1,4,0.412282
1040,2,1,0.650826
1040,2,2,0.445775
1040,2,3,0.301507
1040,2,4,0.196424
1040,3,1,0.537615
1040,3,2,0.317657
1040,3,3,0.204187
1040,3,4,0.128486
1060,1,1,0.784234
1060,1,2,0.629666
1060,1,3,0.521578
1060,1,4,0.427221
1060,2,1,0.63259
1060,2,2,0.441042
1060,2,3,0.338449
1060,2,4,0.236594
1060,3,1,0.521881
1060,3,2,0.320612
1060,3,3,0.242677
1060,3,4,0.171823
1080,1,1,0.792029
1080,1,2,0.638146
1080,1,3,0.516237
1080,1,4,0.425117
1080,2,1,0.641628
1080,2,2,0.444107
1080,2,3,0.306489
1080,2,4,0.215811
1080,3,1,0.523338
1080,3,2,0.323713
1080,3,3,0.1895
1080,3,4,0.107526
1100,1,1,0.788672
1100,1,2,0.636236
1100,1,3,0.526125
1100,1,4,0.427464
1100,2,1,0.644766
1100,2,2,0.463222
1100,2,3,0.365916
1100,2,4,0.272784
1100,3,1,0.536807
1100,3,2,0.340863
1100,3,3,0.247909
1100,3,4,0.165689
1120,1,1,0.789733
1120,1,2,0.644771
1120,1,3,0.539919
1120,1,4,0.452094
1120,2,1,0.625114
1120,2,2,0.435828
1120,2,3,0.322828
1120,2,4,0.247233
1120,3,1,0.496653
1120,3,2,0.300271
1120,3,3,0.195837
1120,3,4,0.113985
1140,1,1,0.786713
1140,1,2,0.64745
1140,1,3,0.529175
1140,1,4,0.436878
1140,2,1,0.636048
1140,2,2,0.449724
1140,2,3,0.315962
1140,2,4,0.237533
1140,3,1,0.519957
1140,3,2,0.309996
1140,3,3,0.189856
1140,3,4,0.140928
1160,1,1,0.774116
1160,1,2,0.617963
1160,1,3,0.495409
1160,1,4,0.390933
1160,2,1,0.611683
1160,2,2,0.417754
1160,2,3,0.273043
1160,2,4,0.172253
1160,3,1,0.479194
1160,3,2,0.274449
1160,3,3,0.139374
1160,3,4,0.082553
1180,1,1,0.783909
1180,1,2,0.642642
1180,1,3,0.530202
1180,1,4,0.438579
1180,2,1,0.611194
1180,2,2,0.424278
1180,2,3,0.29689
1180,2,4,0.205145
1180,3,1,0.480519
1180,3,2,0.29763
1180,3,3,0.174039
1180,3,4,0.0994571
1200,1,1,0.78663
1200,1,2,0.632798
1200,1,3,0.51687
1200,1,4,0.420119
1200,2,1,0.638672
1200,2,2,0.435094
1200,2,3,0.315429
1200,2,4,0.240775
1200,3,1,0.52722
1200,3,2,0.317908
1200,3,3,0.213303
1200,3,4,0.154922
1220,1,1,0.784209
1220,1,2,0.635995
1220,1,3,0.522037
1220,1,4,0.433363
1220,2,1,0.628911
1220,2,2,0.434826
1220,2,3,0.326237
1220,2,4,0.250309
1220,3,1,0.50555
1220,3,2,0.314361
1220,3,3,0.208942
1220,3,4,0.160208
1240,1,1,0.78333
1240,1,2,0.620094
1240,1,3,0.506435
1240,1,4,0.415652
1240,2,1,0.62689
1240,2,2,0.411207
1240,2,3,0.290614
1240,2,4,0.206364
1240,3,1,0.509017
1240,3,2,0.278025
1240,3,3,0.154593
1240,3,4,0.0959411
1260,1,1,0.776298
1260,1,2,0.619296
1260,1,3,0.500759
1260,1,4,0.413513
1260,2,1,0.606107
1260,2,2,0.383844
1260,2,3,0.258553
1260,2,4,0.181544
1260,3,1,0.464123
1260,3,2,0.24112
1260,3,3,0.130123
1260,3,4,0.0911699
1280,1,1,0.788645
1280,1,2,0.644297
1280,1,3,0.537249
1280,1,4,0.448295
1280,2,1,0.627576
1280,2,2,0.42392
1280,2,3,0.308106
1280,2,4,0.210835
1280,3,1,0.500379
1280,3,2,0.282025
1280,3,3,0.180121
1280,3,4,0.117659
1300,1,1,0.792186
1300,1,2,0.636169
1300,1,3,0.515867
1300,1,4,0.413901
1300,2,1,0.640577
1300,2,2,0.44166
1300,2,3,0.322524
1300,2,4,0.234324
1300,3,1,0.521169
1300,3,2,0.304081
1300,3,3,0.191874
1300,3,4,0.119307
1320,1,1,0.790379
1320,1,2,0.655158
1320,1,3,0.548288
1320,1,4,0.464933
1320,2,1,0.63664
1320,2,2,0.444048
1320,2,3,0.316231
1320,2,4,0.244516
1320,3,1,0.516049
1320,3,2,0.296272
1320,3,3,0.183104
1320,3,4,0.12997
1340,1,1,0.788123
1340,1,2,0.647244
1340,1,3,0.523282
1340,1,4,0.418665
1340,2,1,0.635491
1340,2,2,0.450011
1340,2,3,0.313839
1340,2,4,0.214949
1340,3,1,0.513898
1340,3,2,0.312483
1340,3,3,0.195223
1340,3,4,0.132651
1360,1,1,0.780749
1360,1,2,0.623336
1360,1,3,0.507879
1360,1,4,0.42047
1360,2,1,0.626647
1360,2,2,0.409043
1360,2,3,0.2985
1360,2,4,0.225596
1360,3,1,0.509838
1360,3,2,0.280464
1360,3,3,0.203099
1360,3,4,0.158547
1380,1,1,0.782247
1380,1,2,0.641232
1380,1,3,0.517058
1380,1,4,0.428859
1380,2,1,0.634364
1380,2,2,0.442041
1380,2,3,0.294223
1380,2,4,0.223863
1380,3,1,0.521703
1380,3,2,0.321187
1380,3,3,0.197435
1380,3,4,0.148901
1400,1,1,0.783671
1400,1,2,0.620605
1400,1,3,0.488335
1400,1,4,0.378955
1400,2,1,0.626226
1400,2,2,0.424102
1400,2,3,0.275883
1400,2,4,0.182346
1400,3,1,0.505516
1400,3,2,0.30432
1400,3,3,0.182893
1400,3,4,0.119592
1420,1,1,0.777111
1420,1,2,0.612578
1420,1,3,0.483645
1420,1,4,0.388468
1420,2,1,0.625877
1420,2,2,0.430666
1420,2,3,0.288301
1420,2,4,0.220236
1420,3,1,0.504802
1420,3,2,0.294184
1420,3,3,0.161813
1420,3,4,0.110302
1440,1,1,0.790457
1440,1,2,0.635043
1440,1,3,0.512841
1440,1,4,0.409276
1440,2,1,0.650168
1440,2,2,0.438733
1440,2,3,0.299132
1440,2,4,0.208296
1440,3,1,0.537764
1440,3,2,0.3195
1440,3,3,0.200018
1440,3,4,0.127973
1460,1,1,0.778408
1460,1,2,0.624597
1460,1,3,0.50888
1460,1,4,0.403983
1460,2,1,0.634228
1460,2,2,0.436063
1460,2,3,0.310653
1460,2,4,0.209977
1460,3,1,0.510624
1460,3,2,0.306516
1460,3,3,0.181477
1460,3,4,0.10983
1480,1,1,0.789159
1480,1,2,0.643385
1480,1,3,0.528094
1480,1,4,0.44212
1480,2,1,0.637306
1480,2,2,0.446431
1480,2,3,0.329524
1480,2,4,0.242177
1480,3,1,0.521425
1480,3,2,0.316879
1480,3,3,0.20837
1480,3,4,0.131842
1500,1,1,0.780992
1500,1,2,0.626026
1500,1,3,0.502478
1500,1,4,0.39593
1500,2,1,0.630372
1500,2,2,0.430066
1500,2,3,0.296392
1500,2,4,0.1926
1500,3,1,0.503694
1500,3,2,0.304044
1500,3,3,0.176203
1500,3,4,0.0904303
1520,1,1,0.781861
1520,1,2,0.639207
1520,1,3,0.516898
1520,1,4,0.4264
1520,2,1,0.627915
1520,2,2,0.440868
1520,2,3,0.30367
1520,2,4,0.210171
1520,3,1,0.504383
1520,3,2,0.320984
1520,3,3,0.210494
1520,3,4,0.116246
1540,1,1,0.789048
1540,1,2,0.63784
1540,1,3,0.517455
1540,1,4,0.406176
1540,2,1,0.642295
1540,2,2,0.470132
1540,2,3,0.343776
1540,2,4,0.225094
1540,3,1,0.526487
1540,3,2,0.353324
1540,3,3,0.237745
1540,3,4,0.148983
1560,1,1,0.790182
1560,1,2,0.635287
1560,1,3,0.498122
1560,1,4,0.391244
1560,2,1,0.651402
1560,2,2,0.456296
1560,2,3,0.327956
1560,2,4,0.242316
1560,3,1,0.542286
1560,3,2,0.336453
1560,3,3,0.220633
1560,3,4,0.147965
1580,1,1,0.793245
1580,1,2,0.660955
1580,1,3,0.558985
1580,1,4,0.473396
1580,2,1,0.661066
1580,2,2,0.489483
1580,2,3,0.364189
1580,2,4,0.282422
1580,3,1,0.554208
1580,3,2,0.358029
1580,3,3,0.241277
1580,3,4,0.180455
1600,1,1,0.789816
1600,1,2,0.644566
1600,1,3,0.519058
1600,1,4,0.412242
1600,2,1,0.635886
1600,2,2,0.443687
1600,2,3,0.304653
1600,2,4,0.215624
1600,3,1,0.510058
1600,3,2,0.315294
1600,3,3,0.190601
1600,3,4,0.121368
1620,1,1,0.795059
1620,1,2,0.645446
1620,1,3,0.53937
1620,1,4,0.445952
1620,2,1,0.640094
1620,2,2,0.443096
1620,2,3,0.333725
1620,2,4,0.246237
1620,3,1,0.528882
1620,3,2,0.323224
1620,3,3,0.225175
1620,3,4,0.136361
1640,1,1,0.798966
1640,1,2,0.659885
1640,1,3,0.564637
1640,1,4,0.486087
1640,2,1,0.658212
1640,2,2,0.479482
1640,2,3,0.383
1640,2,4,0.298755
1640,3,1,0.536528
1640,3,2,0.330593
1640,3,3,0.238647
1640,3,4,0.15702
1660,1,1,0.788717
1660,1,2,0.638493
1660,1,3,0.512903
1660,1,4,0.407047
1660,2,1,0.642322
1660,2,2,0.448205
1660,2,3,0.3154
1660,2,4,0.220504
1660,3,1,0.526254
1660,3,2,0.320474
1660,3,3,0.212126
1660,3,4,0.147337
1680,1,1,0.800995
1680,1,2,0.654848
1680,1,3,0.538007
1680,1,4,0.441923
1680,2,1,0.650822
1680,2,2,0.454301
1680,2,3,0.334603
1680,2,4,0.242354
1680,3,1,0.513495
1680,3,2,0.303102
1680,3,3,0.192515
1680,3,4,0.148672
1700,1,1,0.788183
1700,1,2,0.633508
1700,1,3,0.508156
1700,1,4,0.40975
1700,2,1,0.641335
1700,2,2,0.449577
1700,2,3,0.295853
1700,2,4,0.20182
1700,3,1,0.525419
1700,3,2,0.326864
1700,3,3,0.166559
1700,3,4,0.0990662
1720,1,1,0.77676
1720,1,2,0.616725
1720,1,3,0.481285
1720,1,4,0.372835
1720,2,1,0.628313
1720,2,2,0.433397
1720,2,3,0.288945
1720,2,4,0.189441
1720,3,1,0.507424
1720,3,2,0.302583
1720,3,3,0.172923
1720,3,4,0.102592
1740,1,1,0.787618
1740,1,2,0.63518
1740,1,3,0.518798
1740,1,4,0.440756
1740,2,1,0.634949
1740,2,2,0.439592
1740,2,3,0.313436
1740,2,4,0.224605
1740,3,1,0.504383
1740,3,2,0.300776
1740,3,3,0.195239
1740,3,4,0.107761
1760,1,1,0.779718
1760,1,2,0.630502
1760,1,3,0.512738
1760,1,4,0.411837
1760,2,1,0.639276
1760,2,2,0.443394
1760,2,3,0.320971
1760,2,4,0.213769
1760,3,1,0.524208
1760,3,2,0.315
1760,3,3,0.208912
1760,3,4,0.12781
1780,1,1,0.789378
1780,1,2,0.640669
1780,1,3,0.524241
1780,1,4,0.432688
1780,2,1,0.632994
1780,2,2,0.432693
1780,2,3,0.318604
1780,2,4,0.227383
1780,3,1,0.498872
1780,3,2,0.28435
1780,3,3,0.194382
1780,3,4,0.122708
1800,1,1,0.791135
1800,1,2,0.641945
1800,1,3,0.524046
1800,1,4,0.424672
1800,2,1,0.645407
1800,2,2,0.446661
1800,2,3,0.315552
1800,2,4,0.215409
1800,3,1,0.531674
1800,3,2,0.321239
1800,3,3,0.226442
1800,3,4,0.155497
1820,1,1,0.790076
1820,1,2,0.645945
1820,1,3,0.533141
1820,1,4,0.441414
1820,2,1,0.64073
1820,2,2,0.447095
1820,2,3,0.326857
1820,2,4,0.235865
1820,3,1,0.527401
1820,3,2,0.322682
1820,3,3,0.232624
1820,3,4,0.164372
1840,1,1,0.785769
1840,1,2,0.635497
1840,1,3,0.52163
1840,1,4,0.426667
1840,2,1,0.632851
1840,2,2,0.43043
1840,2,3,0.307607
1840,2,4,0.205767
1840,3,1,0.498032
1840,3,2,0.290577
1840,3,3,0.194243
1840,3,4,0.110703
1860,1,1,0.781704
1860,1,2,0.626583
1860,1,3,0.49449
1860,1,4,0.407194
1860,2,1,0.634169
1860,2,2,0.41675
1860,2,3,0.275042
1860,2,4,0.195629
1860,3,1,0.515028
1860,3,2,0.273717
1860,3,3,0.147342
1860,3,4,0.0805068
1880,1,1,0.792678
1880,1,2,0.64168
1880,1,3,0.521489
1880,1,4,0.430463
1880,2,1,0.639657
1880,2,2,0.433986
1880,2,3,0.29712
1880,2,4,0.19654
1880,3,1,0.520322
1880,3,2,0.298588
1880,3,3,0.176277
1880,3,4,0.10739
1900,1,1,0.782074
1900,1,2,0.629596
1900,1,3,0.505412
1900,1,4,0.399552
1900,2,1,0.630422
1900,2,2,0.409118
1900,2,3,0.262513
1900,2,4,0.156367
1900,3,1,0.513687
1900,3,2,0.2684
1900,3,3,0.126018
1900,3,4,0.0328281
1920,1,1,0.782968
1920,1,2,0.621616
1920,1,3,0.502428
1920,1,4,0.400564
1920,2,1,0.626994
1920,2,2,0.40729
1920,2,3,0.270539
1920,2,4,0.170866
1920,3,1,0.505066
1920,3,2,0.273095
1920,3,3,0.148398
1920,3,4,0.0772224
1940,1,1,0.796865
1940,1,2,0.659937
1940,1,3,0.553703
1940,1,4,0.453781
1940,2,1,0.651895
1940,2,2,0.466957
1940,2,3,0.342981
1940,2,4,0.245397
1940,3,1,0.547422
1940,3,2,0.34591
1940,3,3,0.22379
1940,3,4,0.142061
1960,1,1,0.793738
1960,1,2,0.654365
1960,1,3,0.531133
1960,1,4,0.441709
1960,2,1,0.640844
1960,2,2,0.449752
1960,2,3,0.30633
1960,2,4,0.219905
1960,3,1,0.520662
1960,3,2,0.33067
1960,3,3,0.202325
1960,3,4,0.137564
1980,1,1,0.786144
1980,1,2,0.634584
1980,1,3,0.515247
1980,1,4,0.410041
1980,2,1,0.627049
1980,2,2,0.415746
1980,2,3,0.275276
1980,2,4,0.170836
1980,3,1,0.496554
1980,3,2,0.277096
1980,3,3,0.167332
1980,3,4,0.0967877
2000,1,1,0.79091
2000,1,2,0.638326
2000,1,3,0.530231
2000,1,4,0.440563
2000,2,1,0.65022
2000,2,2,0.472195
2000,2,3,0.367523
2000,2,4,0.287294
2000,3,1,0.534891
2000,3,2,0.350757
2000,3,3,0.253003
2000,3,4,0.200175
2020,1,1,0.781045
2020,1,2,0.624941
2020,1,3,0.492066
2020,1,4,0.384924
2020,2,1,0.628205
2020,2,2,0.438292
2020,2,3,0.310039
2020,2,4,0.210788
2020,3,1,0.509965
2020,3,2,0.300231
2020,3,3,0.192589
2020,3,4,0.114063
2040,1,1,0.789896
2040,1,2,0.640126
2040,1,3,0.513983
2040,1,4,0.411478
2040,2,1,0.648335
2040,2,2,0.445372
2040,2,3,0.316302
2040,2,4,0.207112
2040,3,1,0.537234
2040,3,2,0.317664
2040,3,3,0.226575
2040,3,4,0.158814
2060,1,1,0.771054
2060,1,2,0.608585
2060,1,3,0.488599
2060,1,4,0.394458
2060,2,1,0.610924
