sweep,R,T,W
510,1,1,0.746495
510,1,2,0.512589
510,1,3,0.3456
510,2,1,0.548695
510,2,2,0.254862
510,2,3,0.138351
520,1,1,0.707536
520,1,2,0.507969
520,1,3,0.370608
520,2,1,0.520586
520,2,2,0.278055
520,2,3,0.167386
530,1,1,0.709768
530,1,2,0.500542
530,1,3,0.376847
530,2,1,0.510319
530,2,2,0.27263
530,2,3,0.127128
540,1,1,0.730967
540,1,2,0.536074
540,1,3,0.380384
540,2,1,0.527335
540,2,2,0.315675
540,2,3,0.147219
550,1,1,0.727866
550,1,2,0.570178
550,1,3,0.431185
550,2,1,0.514896
550,2,2,0.308042
550,2,3,0.197242
560,1,1,0.701155
560,1,2,0.526974
560,1,3,0.40591
560,2,1,0.55079
560,2,2,0.380658
560,2,3,0.245313
570,1,1,0.742871
570,1,2,0.582396
570,1,3,0.45246
570,2,1,0.5606
570,2,2,0.29319
570,2,3,0.122917
580,1,1,0.723064
580,1,2,0.570138
580,1,3,0.465157
580,2,1,0.544432
580,2,2,0.35333
580,2,3,0.198525
590,1,1,0.745265
590,1,2,0.575539
590,1,3,0.455159
590,2,1,0.607142
590,2,2,0.425167
590,2,3,0.309121
600,1,1,0.77898
600,1,2,0.665405
600,1,3,0.555285
600,2,1,0.624292
600,2,2,0.427862
600,2,3,0.289237
610,1,1,0.728991
610,1,2,0.552577
610,1,3,0.432491
610,2,1,0.52658
610,2,2,0.341721
610,2,3,0.249772
620,1,1,0.723225
620,1,2,0.540693
620,1,3,0.391028
620,2,1,0.542405
620,2,2,0.314575
620,2,3,0.243258
630,1,1,0.757665
630,1,2,0.589828
630,1,3,0.49685
630,2,1,0.616329
630,2,2,0.405512
630,2,3,0.220962
640,1,1,0.733819
640,1,2,0.557283
640,1,3,0.435861
640,2,1,0.587731
640,2,2,0.365484
640,2,3,0.260862
650,1,1,0.716553
650,1,2,0.516159
650,1,3,0.399726
650,2,1,0.565497
650,2,2,0.393696
650,2,3,0.322974
660,1,1,0.744356
660,1,2,0.5909
660,1,3,0.45132
660,2,1,0.58915
660,2,2,0.401189
660,2,3,0.253383
670,1,1,0.75533
670,1,2,0.572986
670,1,3,0.42127
670,2,1,0.581304
670,2,2,0.336762
670,2,3,0.173418
680,1,1,0.722924
680,1,2,0.563817
680,1,3,0.460165
680,2,1,0.539333
680,2,2,0.372055
680,2,3,0.274691
690,1,1,0.694486
690,1,2,0.545158
690,1,3,0.474912
690,2,1,0.509989
690,2,2,0.30808
690,2,3,0.235866
700,1,1,0.71814
700,1,2,0.510119
700,1,3,0.351251
700,2,1,0.575667
700,2,2,0.351603
700,2,3,0.197365
710,1,1,0.733809
710,1,2,0.558999
710,1,3,0.419101
710,2,1,0.569803
710,2,2,0.318927
710,2,3,0.201155
720,1,1,0.758066
720,1,2,0.608038
720,1,3,0.507917
720,2,1,0.598018
720,2,2,0.397759
720,2,3,0.282174
730,1,1,0.694257
730,1,2,0.498716
730,1,3,0.388596
730,2,1,0.485138
730,2,2,0.305577
730,2,3,0.196297
740,1,1,0.721168
740,1,2,0.529463
740,1,3,0.360773
740,2,1,0.532134
740,2,2,0.30139
740,2,3,0.151813
750,1,1,0.739673
750,1,2,0.516752
750,1,3,0.342351
750,2,1,0.589924
750,2,2,0.279868
750,2,3,0.158783
760,1,1,0.690891
760,1,2,0.470101
760,1,3,0.317449
760,2,1,0.502864
760,2,2,0.211189
760,2,3,0.061391
770,1,1,0.723619
770,1,2,0.542011
770,1,3,0.427871
770,2,1,0.536284
770,2,2,0.302935
770,2,3,0.183476
780,1,1,0.720888
780,1,2,0.523366
780,1,3,0.39161
780,2,1,0.537688
780,2,2,0.331669
780,2,3,0.212367
790,1,1,0.736785
790,1,2,0.569354
790,1,3,0.519538
790,2,1,0.551718
790,2,2,0.367341
790,2,3,0.365786
800,1,1,0.747917
800,1,2,0.587203
800,1,3,0.515944
800,2,1,0.63474
800,2,2,0.461892
800,2,3,0.389121
810,1,1,0.756686
810,1,2,0.581598
810,1,3,0.460841
810,2,1,0.596457
810,2,2,0.377738
810,2,3,0.25889
820,1,1,0.73396
820,1,2,0.550154
820,1,3,0.433305
820,2,1,0.543204
820,2,2,0.333931
820,2,3,0.232404
830,1,1,0.744955
830,1,2,0.559994
830,1,3,0.419171
830,2,1,0.569348
830,2,2,0.366317
830,2,3,0.209237
840,1,1,0.711398
840,1,2,0.52544
840,1,3,0.452554
840,2,1,0.508416
840,2,2,0.291073
840,2,3,0.238085
850,1,1,0.724728
850,1,2,0.569965
850,1,3,0.471197
850,2,1,0.578381
850,2,2,0.379102
850,2,3,0.354656
860,1,1,0.721616
860,1,2,0.559524
860,1,3,0.490941
860,2,1,0.496807
860,2,2,0.300546
860,2,3,0.231024
870,1,1,0.741997
870,1,2,0.587692
870,1,3,0.470715
870,2,1,0.593014
870,2,2,0.423408
870,2,3,0.304158
880,1,1,0.770327
880,1,2,0.592645
880,1,3,0.502605
880,2,1,0.612584
880,2,2,0.341198
880,2,3,0.239405
890,1,1,0.719862
890,1,2,0.522372
890,1,3,0.339808
890,2,1,0.521129
890,2,2,0.318881
890,2,3,0.1831
900,1,1,0.730632
900,1,2,0.554796
900,1,3,0.430164
900,2,1,0.532378
900,2,2,0.335077
900,2,3,0.204233
910,1,1,0.711517
910,1,2,0.550459
910,1,3,0.414217
910,2,1,0.59467
910,2,2,0.417086
910,2,3,0.305107
920,1,1,0.758338
920,1,2,0.605271
920,1,3,0.483389
920,2,1,0.586283
920,2,2,0.409545
920,2,3,0.249166
930,1,1,0.724945
930,1,2,0.581346
930,1,3,0.472034
930,2,1,0.513281
930,2,2,0.375372
930,2,3,0.317296
940,1,1,0.720822
940,1,2,0.600771
940,1,3,0.481715
940,2,1,0.55128
940,2,2,0.38771
940,2,3,0.233954
950,1,1,0.741492
950,1,2,0.563791
950,1,3,0.41783
950,2,1,0.583353
950,2,2,0.401046
950,2,3,0.222184
960,1,1,0.718641
960,1,2,0.491939
960,1,3,0.322629
960,2,1,0.518515
960,2,2,0.238021
960,2,3,0.107495
970,1,1,0.724294
970,1,2,0.547368
970,1,3,0.370368
970,2,1,0.567648
970,2,2,0.367023
970,2,3,0.182187
980,1,1,0.701963
980,1,2,0.466741
980,1,3,0.318339
980,2,1,0.495712
980,2,2,0.235214
980,2,3,0.202543
990,1,1,0.71288
990,1,2,0.517188
990,1,3,0.364477
990,2,1,0.553854
