sweep,acceptance,plaquette
1,0.807292,0.0850557
2,0.729167,0.157668
3,0.739583,0.21765
4,0.692708,0.275134
5,0.765625,0.322508
6,0.671875,0.35827
7,0.635417,0.407666
8,0.640625,0.462077
9,0.666667,0.478225
10,0.619792,0.496796
11,0.598958,0.542331
12,0.609375,0.574129
13,0.661458,0.575477
14,0.661458,0.594289
15,0.645833,0.609336
16,0.609375,0.622032
17,0.677083,0.636822
18,0.614583,0.635906
19,0.651042,0.655653
20,0.635417,0.666607
21,0.645833,0.662148
22,0.619792,0.672971
23,0.651042,0.651664
24,0.578125,0.63992
25,0.619792,0.64794
26,0.671875,0.651731
27,0.614583,0.652813
28,0.630208,0.659588
29,0.6875,0.65392
30,0.5625,0.662469
31,0.640625,0.65876
32,0.604167,0.664024
33,0.630208,0.656993
34,0.598958,0.667556
35,0.645833,0.666266
36,0.588542,0.667529
37,0.65625,0.665282
38,0.635417,0.672428
39,0.609375,0.671867
40,0.640625,0.687905
41,0.640625,0.678943
42,0.661458,0.671231
43,0.5625,0.688702
44,0.645833,0.681856
45,0.666667,0.693016
46,0.651042,0.698792
47,0.635417,0.672246
48,0.604167,0.696522
49,0.588542,0.695946
50,0.588542,0.690213
51,0.630208,0.700948
52,0.598958,0.682713
53,0.640625,0.6701
54,0.619792,0.673895
55,0.614583,0.678762
56,0.619792,0.673954
57,0.588542,0.678116
58,0.604167,0.701031
59,0.609375,0.696018
60,0.526042,0.713834
61,0.604167,0.711805
62,0.614583,0.705666
63,0.619792,0.716014
64,0.640625,0.720318
65,0.609375,0.720363
66,0.588542,0.715167
67,0.614583,0.709436
68,0.6875,0.714985
69,0.588542,0.72425
70,0.583333,0.70944
71,0.609375,0.703467
72,0.682292,0.687137
73,0.552083,0.690934
74,0.6875,0.696178
75,0.604167,0.704859
76,0.666667,0.696344
77,0.630208,0.707848
78,0.598958,0.715236
79,0.578125,0.714913
80,0.609375,0.715558
81,0.666667,0.703005
82,0.583333,0.708255
83,0.604167,0.69867
84,0.645833,0.70096
85,0.59375,0.685598
86,0.604167,0.68371
87,0.59375,0.682118
88,0.630208,0.680719
89,0.645833,0.666514
90,0.578125,0.666878
91,0.572917,0.665856
92,0.604167,0.663626
93,0.635417,0.683197
94,0.630208,0.693018
95,0.604167,0.705038
96,0.567708,0.706703
97,0.640625,0.698623
98,0.609375,0.699645
99,0.661458,0.711424
100,0.598958,0.707016
101,0.588542,0.687804
102,0.583333,0.705382
103,0.625,0.716497
104,0.557292,0.701485
105,0.645833,0.706851
106,0.619792,0.714596
107,0.635417,0.717725
108,0.625,0.706683
109,0.635417,0.702759
110,0.609375,0.697841
111,0.630208,0.69719
112,0.609375,0.696347
113,0.635417,0.703142
114,0.65625,0.680906
115,0.609375,0.686801
116,0.578125,0.696121
117,0.614583,0.69227
118,0.614583,0.677338
119,0.5625,0.663155
120,0.619792,0.69049
121,0.640625,0.718443
122,0.588542,0.717747
123,0.65625,0.719841
124,0.65625,0.719431
125,0.619792,0.70913
126,0.640625,0.716462
127,0.640625,0.682651
128,0.588542,0.69596
129,0.625,0.712563
130,0.682292,0.701052
131,0.635417,0.691373
132,0.640625,0.68618
133,0.645833,0.698554
134,0.614583,0.701566
135,0.645833,0.699188
136,0.630208,0.706122
137,0.625,0.710427
138,0.640625,0.694911
139,0.583333,0.708752
140,0.682292,0.715388
141,0.630208,0.706505
142,0.614583,0.693989
143,0.526042,0.703002
144,0.635417,0.709099
145,0.546875,0.718621
146,0.625,0.710406
147,0.619792,0.716067
148,0.604167,0.695728
149,0.625,0.713123
150,0.588542,0.731741
151,0.609375,0.744657
152,0.619792,0.731467
153,0.5625,0.728215
154,0.604167,0.738616
155,0.546875,0.72654
156,0.625,0.729766
157,0.630208,0.738268
158,0.541667,0.727296
159,0.572917,0.720683
160,0.609375,0.715394
161,0.59375,0.708903
162,0.635417,0.717659
163,0.677083,0.719984
164,0.598958,0.705223
165,0.630208,0.726451
166,0.640625,0.736622
167,0.598958,0.723894
168,0.666667,0.726938
169,0.588542,0.726327
170,0.583333,0.712416
171,0.651042,0.71296
172,0.5625,0.710477
173,0.583333,0.7255
174,0.635417,0.722405
175,0.609375,0.72263
176,0.588542,0.735592
177,0.59375,0.734654
178,0.645833,0.7471
179,0.640625,0.767256
180,0.666667,0.753968
181,0.609375,0.751366
182,0.5625,0.737247
183,0.578125,0.731557
184,0.557292,0.738213
185,0.645833,0.732317
186,0.604167,0.733973
187,0.677083,0.753733
188,0.572917,0.743498
189,0.640625,0.725927
190,0.583333,0.720681
191,0.645833,0.741854
192,0.604167,0.738657
193,0.614583,0.745983
194,0.651042,0.746118
195,0.583333,0.752727
196,0.614583,0.749953
197,0.583333,0.748739
198,0.619792,0.747449
