sweep,R,T,W
510,1,1,0.753456
510,1,2,0.553148
510,1,3,0.428915
510,2,1,0.558371
510,2,2,0.226378
510,2,3,0.176512
520,1,1,0.701515
520,1,2,0.5154
520,1,3,0.358023
520,2,1,0.521762
520,2,2,0.330044
520,2,3,0.161926
530,1,1,0.703772
530,1,2,0.481323
530,1,3,0.321338
530,2,1,0.503445
530,2,2,0.172077
530,2,3,0.0213145
540,1,1,0.741164
540,1,2,0.543674
540,1,3,0.37173
540,2,1,0.555203
540,2,2,0.32008
540,2,3,0.135019
550,1,1,0.731732
550,1,2,0.514839
550,1,3,0.337648
550,2,1,0.587169
550,2,2,0.324067
550,2,3,0.127662
560,1,1,0.756143
560,1,2,0.582978
560,1,3,0.499985
560,2,1,0.576083
560,2,2,0.38197
560,2,3,0.264076
570,1,1,0.714489
570,1,2,0.526229
570,1,3,0.379661
570,2,1,0.53042
570,2,2,0.25869
570,2,3,0.100909
580,1,1,0.767661
580,1,2,0.603893
580,1,3,0.473408
580,2,1,0.577924
580,2,2,0.361414
580,2,3,0.250387
590,1,1,0.735513
590,1,2,0.573971
590,1,3,0.4593
590,2,1,0.549034
590,2,2,0.365956
590,2,3,0.250289
600,1,1,0.71576
600,1,2,0.524807
600,1,3,0.403433
600,2,1,0.549815
600,2,2,0.368313
600,2,3,0.302128
610,1,1,0.733371
610,1,2,0.570405
610,1,3,0.461349
610,2,1,0.54844
610,2,2,0.3416
610,2,3,0.272918
620,1,1,0.675622
620,1,2,0.465109
620,1,3,0.318345
620,2,1,0.403176
620,2,2,0.224189
620,2,3,0.131882
630,1,1,0.743318
630,1,2,0.61502
630,1,3,0.502794
630,2,1,0.576384
630,2,2,0.393992
630,2,3,0.289496
640,1,1,0.750668
640,1,2,0.577253
640,1,3,0.465166
640,2,1,0.583727
640,2,2,0.379088
640,2,3,0.279811
650,1,1,0.766563
650,1,2,0.605338
650,1,3,0.486515
650,2,1,0.647486
650,2,2,0.418657
650,2,3,0.292801
660,1,1,0.752468
660,1,2,0.59985
660,1,3,0.495787
660,2,1,0.579288
660,2,2,0.39457
660,2,3,0.252793
670,1,1,0.744534
670,1,2,0.542388
670,1,3,0.369119
670,2,1,0.561933
670,2,2,0.3185
670,2,3,0.177045
680,1,1,0.736483
680,1,2,0.608468
680,1,3,0.4783
680,2,1,0.580319
680,2,2,0.420371
680,2,3,0.259519
690,1,1,0.735571
690,1,2,0.563296
690,1,3,0.411382
690,2,1,0.547878
690,2,2,0.353604
690,2,3,0.249647
700,1,1,0.730975
700,1,2,0.486316
700,1,3,0.326771
700,2,1,0.534491
700,2,2,0.243907
700,2,3,0.105668
710,1,1,0.690441
710,1,2,0.52661
710,1,3,0.435466
710,2,1,0.503142
710,2,2,0.298658
710,2,3,0.238371
720,1,1,0.755235
720,1,2,0.621225
720,1,3,0.531322
720,2,1,0.569998
720,2,2,0.408897
720,2,3,0.375428
730,1,1,0.712321
730,1,2,0.536574
730,1,3,0.443151
730,2,1,0.500908
730,2,2,0.313061
730,2,3,0.196562
740,1,1,0.729542
740,1,2,0.557548
740,1,3,0.438892
740,2,1,0.52404
740,2,2,0.296462
740,2,3,0.244203
750,1,1,0.725905
750,1,2,0.597916
750,1,3,0.439891
750,2,1,0.545427
750,2,2,0.428258
750,2,3,0.290944
760,1,1,0.757242
760,1,2,0.565169
760,1,3,0.449014
760,2,1,0.577012
760,2,2,0.34284
760,2,3,0.281257
770,1,1,0.754626
770,1,2,0.541245
770,1,3,0.455564
770,2,1,0.606549
770,2,2,0.372735
770,2,3,0.35796
780,1,1,0.76276
780,1,2,0.613274
780,1,3,0.466525
780,2,1,0.608473
780,2,2,0.405476
780,2,3,0.243054
790,1,1,0.716375
790,1,2,0.581287
790,1,3,0.448786
790,2,1,0.578514
790,2,2,0.385538
790,2,3,0.220758
800,1,1,0.744534
800,1,2,0.598994
800,1,3,0.48916
800,2,1,0.578162
800,2,2,0.412652
800,2,3,0.360416
810,1,1,0.731475
810,1,2,0.583994
810,1,3,0.465256
810,2,1,0.575225
810,2,2,0.35131
810,2,3,0.23052
820,1,1,0.73895
820,1,2,0.561331
820,1,3,0.433638
820,2,1,0.541108
820,2,2,0.342668
820,2,3,0.275892
830,1,1,0.758596
830,1,2,0.624589
830,1,3,0.484843
830,2,1,0.580621
830,2,2,0.410318
830,2,3,0.278597
840,1,1,0.742469
840,1,2,0.568442
840,1,3,0.430722
840,2,1,0.575368
840,2,2,0.334101
840,2,3,0.206317
850,1,1,0.75676
850,1,2,0.570695
850,1,3,0.440971
850,2,1,0.614124
850,2,2,0.368152
850,2,3,0.261987
860,1,1,0.742877
860,1,2,0.585042
860,1,3,0.483926
860,2,1,0.581962
860,2,2,0.311251
860,2,3,0.209367
870,1,1,0.749657
870,1,2,0.572966
870,1,3,0.474896
870,2,1,0.606658
870,2,2,0.367595
870,2,3,0.266603
880,1,1,0.745504
880,1,2,0.582876
880,1,3,0.449783
880,2,1,0.579621
880,2,2,0.383664
880,2,3,0.272022
890,1,1,0.727158
890,1,2,0.586608
890,1,3,0.485686
890,2,1,0.595795
890,2,2,0.415878
890,2,3,0.316091
900,1,1,0.749207
900,1,2,0.57079
900,1,3,0.429449
900,2,1,0.578874
900,2,2,0.37795
900,2,3,0.238793
910,1,1,0.735574
910,1,2,0.553487
910,1,3,0.357804
910,2,1,0.588434
910,2,2,0.388077
910,2,3,0.248963
920,1,1,0.71965
920,1,2,0.535875
920,1,3,0.424829
920,2,1,0.532903
920,2,2,0.305937
920,2,3,0.18316
930,1,1,0.750514
930,1,2,0.600465
930,1,3,0.499724
930,2,1,0.561161
930,2,2,0.349152
930,2,3,0.212139
940,1,1,0.748457
940,1,2,0.524463
940,1,3,0.369389
