sweep,acceptance,plaquette
1,0.436589,0.952387
2,0.470238,0.919481
3,0.492225,0.894524
4,0.513727,0.876949
5,0.512148,0.862951
6,0.506317,0.854591
7,0.523202,0.845658
8,0.524174,0.839801
9,0.523688,0.836274
10,0.528061,0.83361
11,0.523081,0.829518
12,0.521016,0.825349
13,0.525024,0.823452
14,0.531341,0.822073
15,0.532434,0.819824
16,0.524903,0.817756
17,0.521501,0.816911
18,0.531706,0.81473
19,0.533042,0.814415
20,0.536079,0.815688
21,0.54033,0.814791
22,0.527454,0.815174
23,0.53292,0.813359
24,0.52551,0.812891
25,0.529762,0.814521
26,0.527697,0.814249
27,0.543367,0.810823
28,0.536565,0.813299
29,0.534864,0.812858
30,0.529762,0.812568
31,0.527454,0.81098
32,0.542031,0.81096
33,0.535107,0.810566
34,0.530855,0.809163
35,0.531098,0.807531
36,0.527332,0.806413
37,0.527211,0.808395
38,0.523445,0.809176
39,0.533771,0.81073
40,0.530734,0.81147
41,0.526725,0.8104
42,0.527818,0.808137
43,0.546161,0.807696
44,0.533528,0.808252
45,0.531584,0.806656
46,0.534985,0.807243
47,0.523324,0.808441
48,0.536565,0.80761
49,0.537293,0.807988
50,0.522716,0.809533
51,0.523688,0.810528
52,0.530248,0.80921
53,0.526482,0.811179
54,0.525267,0.809601
55,0.520287,0.808095
56,0.52223,0.80678
57,0.533892,0.808648
58,0.533892,0.807202
59,0.52223,0.808603
60,0.537536,0.806794
61,0.532191,0.807424
62,0.53948,0.809293
63,0.539237,0.80748
64,0.531584,0.807755
65,0.530612,0.806774
66,0.52879,0.806645
67,0.536686,0.808491
68,0.52794,0.80795
69,0.528426,0.807336
70,0.534985,0.806238
71,0.541424,0.808955
72,0.540573,0.80597
73,0.532556,0.807695
74,0.526846,0.807749
75,0.522352,0.806251
76,0.526361,0.807769
77,0.527454,0.805963
78,0.529519,0.806573
79,0.534864,0.806622
80,0.530005,0.805039
81,0.531584,0.8045
82,0.528061,0.806751
83,0.528183,0.806661
84,0.528304,0.806524
85,0.531463,0.808281
86,0.530005,0.806913
87,0.522959,0.80879
88,0.528304,0.808609
89,0.5362,0.806716
90,0.534014,0.80631
