R,T,Veff,err
1,1,0.1878089346381957,0.00019530049919384246
1,2,0.18181690122538807,0.0002623463604436427
1,3,0.18060348294701,0.0003215222385483269
1,4,0.18035577651893275,0.00042042591589780377
1,5,0.18023026884832039,0.0005025629767622082
2,1,0.3270085967776373,0.0005770589908247031
2,2,0.30690548036638177,0.0007524130109501451
2,3,0.30161711305250805,0.0009900317519605103
2,4,0.3010137329863891,0.0015046706607673424
2,5,0.30010225716636274,0.001645524673845278
3,1,0.4530569585074833,0.000833537159264141
3,2,0.41332699533787576,0.0013000720906344704
3,3,0.40192982657822807,0.001753401111618093
3,4,0.3995035245031948,0.002134073778362018
3,5,0.3930826711944926,0.0027786481402473397
4,1,0.5749686295126448,0.0014587755471976729
4,2,0.5147903633242699,0.00215454768314927
4,3,0.4957847761223153,0.003195929554392053
4,4,0.48625281346400584,0.0045794800675867785
4,5,0.4869533182599337,0.0069480026985656584
5,1,0.6966553833481992,0.0024476372713713463
5,2,0.6148867059945982,0.003568431055542185
5,3,0.5867350306843448,0.005975804641553282
5,4,0.5760812191366984,0.009576713812878909
5,5,0.5832311112720063,0.013286196963618453
