sweep,R,T,W
4040,1,1,0.825956
4040,1,2,0.699597
4040,1,3,0.595074
4040,1,4,0.507665
4040,1,5,0.431264
4040,1,6,0.365687
4040,2,1,0.699319
4040,2,2,0.526143
4040,2,3,0.403848
4040,2,4,0.311107
4040,2,5,0.240094
4040,2,6,0.183255
4040,3,1,0.596352
4040,3,2,0.404767
4040,3,3,0.290112
4040,3,4,0.207387
4040,3,5,0.152709
4040,3,6,0.109895
4040,4,1,0.510943
4040,4,2,0.316876
4040,4,3,0.213094
4040,4,4,0.14036
4040,4,5,0.0948876
4040,4,6,0.0589157
4040,5,1,0.437396
4040,5,2,0.248097
4040,5,3,0.158588
4040,5,4,0.0961069
4040,5,5,0.061542
4040,5,6,0.0303587
4080,1,1,0.824196
4080,1,2,0.697139
4080,1,3,0.593491
4080,1,4,0.506225
4080,1,5,0.432685
4080,1,6,0.37053
4080,2,1,0.694244
4080,2,2,0.518695
4080,2,3,0.396844
4080,2,4,0.301776
4080,2,5,0.236246
4080,2,6,0.18467
4080,3,1,0.590315
4080,3,2,0.397469
4080,3,3,0.282874
4080,3,4,0.195193
4080,3,5,0.139172
4080,3,6,0.0992819
4080,4,1,0.504247
4080,4,2,0.306757
4080,4,3,0.203392
4080,4,4,0.134613
4080,4,5,0.08666
4080,4,6,0.0585371
4080,5,1,0.431802
4080,5,2,0.238632
4080,5,3,0.144451
4080,5,4,0.0924932
4080,5,5,0.0578379
4080,5,6,0.0389847
4120,1,1,0.824797
4120,1,2,0.700417
4120,1,3,0.597977
4120,1,4,0.511015
4120,1,5,0.433194
4120,1,6,0.368894
4120,2,1,0.698423
4120,2,2,0.526831
4120,2,3,0.407051
4120,2,4,0.317898
4120,2,5,0.246089
4120,2,6,0.188633
4120,3,1,0.592279
4120,3,2,0.400834
4120,3,3,0.285145
4120,3,4,0.203183
4120,3,5,0.139685
4120,3,6,0.0914214
4120,4,1,0.505064
4120,4,2,0.307928
4120,4,3,0.203869
4120,4,4,0.131854
4120,4,5,0.0800285
4120,4,6,0.042214
4120,5,1,0.429324
4120,5,2,0.23795
4120,5,3,0.147671
4120,5,4,0.0918215
4120,5,5,0.0511828
