R,T,Veff,err
1,1,0.14540887208368325,9.71000681596583e-05
1,2,0.14521574479304533,0.0001201672057202254
1,3,0.1450841908844236,0.00015302404496431998
1,4,0.14506062312912515,0.00020232075802125704
1,5,0.14490241938389614,0.0002443137388552204
2,1,0.23594000742302423,0.00020269333958177824
2,2,0.23569571371352982,0.00026395542953286117
2,3,0.235391447972086,0.00040244088605878207
2,4,0.2351211022355164,0.00048555317337295434
2,5,0.23473615474590837,0.0005346421759963177
3,1,0.30703622766708705,0.00037435407724273556
3,2,0.30682087411564396,0.000526998391547674
3,3,0.3060218338959704,0.0006524610528414618
3,4,0.3052152674366235,0.0008608970036525946
3,5,0.30449001503023787,0.000961885264088647
4,1,0.37041637851006737,0.0006499559901207725
4,2,0.36993559444806223,0.000915553901359771
4,3,0.36920367781715324,0.0012114924639596296
4,4,0.36947227768404467,0.0015090953030636727
4,5,0.36760508321181984,0.0018404002187102828
5,1,0.4303988915587169,0.0009754855530707486
5,2,0.4292117843544485,0.0013026895738234483
5,3,0.4285104049969686,0.001972463649095754
5,4,0.42818187243403116,0.0025410390900889638
5,5,0.42506142079702514,0.003244713844168059
