sweep,R,T,W
4040,1,1,0.864371
4040,1,2,0.747385
4040,1,3,0.647122
4040,1,4,0.561135
4040,1,5,0.486589
4040,1,6,0.42299
4040,2,1,0.789777
4040,2,2,0.625632
4040,2,3,0.497207
4040,2,4,0.398204
4040,2,5,0.318942
4040,2,6,0.254885
4040,3,1,0.737846
4040,3,2,0.549205
4040,3,3,0.412376
4040,3,4,0.313833
4040,3,5,0.238937
4040,3,6,0.181492
4040,4,1,0.694265
4040,4,2,0.488805
4040,4,3,0.348494
4040,4,4,0.251467
4040,4,5,0.181718
4040,4,6,0.134361
4040,5,1,0.656376
4040,5,2,0.440034
4040,5,3,0.301966
4040,5,4,0.208962
4040,5,5,0.144796
4040,5,6,0.101362
4080,1,1,0.863748
4080,1,2,0.747476
4080,1,3,0.648172
4080,1,4,0.563581
4080,1,5,0.487912
4080,1,6,0.421181
4080,2,1,0.789575
4080,2,2,0.625859
4080,2,3,0.498656
4080,2,4,0.400306
4080,2,5,0.31806
4080,2,6,0.249996
4080,3,1,0.73541
4080,3,2,0.543499
4080,3,3,0.404852
4080,3,4,0.305208
4080,3,5,0.228538
4080,3,6,0.168922
4080,4,1,0.69136
4080,4,2,0.482322
4080,4,3,0.340097
4080,4,4,0.247678
4080,4,5,0.179949
4080,4,6,0.129898
4080,5,1,0.652069
4080,5,2,0.429964
4080,5,3,0.289204
4080,5,4,0.201924
4080,5,5,0.141247
4080,5,6,0.101374
4120,1,1,0.863113
4120,1,2,0.748611
4120,1,3,0.64912
4120,1,4,0.563868
4120,1,5,0.49074
4120,1,6,0.425506
4120,2,1,0.787522
4120,2,2,0.623656
4120,2,3,0.495238
4120,2,4,0.395357
4120,2,5,0.317044
4120,2,6,0.253815
4120,3,1,0.733755
4120,3,2,0.541422
4120,3,3,0.400834
4120,3,4,0.29831
4120,3,5,0.225595
4120,3,6,0.172147
4120,4,1,0.687686
4120,4,2,0.476829
4120,4,3,0.33016
4120,4,4,0.232073
4120,4,5,0.167108
4120,4,6,0.12122
4120,5,1,0.647837
4120,5,2,0.425084
4120,5,3,0.276524
4120,5,4,0.185
4120,5,5,0.127865
4120,5,6,0.0905809
4160,1,1,0.862554
4160,1,2,0.745643
4160,1,3,0.645237
4160,1,4,0.557081
4160,1,5,0.481452
4160,1,6,0.416119
4160,2,1,0.789053
4160,2,2,0.62291
4160,2,3,0.491169
4160,2,4,0.387917
4160,2,5,0.30639
4160,2,6,0.244114
4160,3,1,0.735073
4160,3,2,0.54006
4160,3,3,0.394791
4160,3,4,0.290047
4160,3,5,0.210954
4160,3,6,0.155113
4160,4,1,0.691191
4160,4,2,0.479224
4160,4,3,0.329
4160,4,4,0.230329
4160,4,5,0.158573
4160,4,6,0.110855
4160,5,1,0.650895
4160,5,2,0.425516
4160,5,3,0.276673
4160,5,4,0.187012
4160,5,5,0.124587
4160,5,6,0.0818465
4200,1,1,0.863447
4200,1,2,0.747447
4200,1,3,0.646678
4200,1,4,0.559877
4200,1,5,0.485405
4200,1,6,0.42004
4200,2,1,0.787617
4200,2,2,0.621256
4200,2,3,0.489728
4200,2,4,0.385503
4200,2,5,0.303183
4200,2,6,0.238689
4200,3,1,0.733689
4200,3,2,0.538912
4200,3,3,0.39463
4200,3,4,0.286315
4200,3,5,0.20705
