case,beta,fit_type,range_tag,V0,err_V0,sigma,err_sigma,alpha,err_alpha,chi2,dof,chi2_dof
scaling_L10_beta_4p5,4.5,linear,main_R1to4,0.07872296370872944,0.001269472618499926,0.15936892677689296,0.0010859765689559704,nan,nan,23.495976109394643,2,11.747988054697322
scaling_L10_beta_4p5,4.5,linear_plus_invR,main_R1to4,0.1536267794622006,0.01597959866318054,0.14058405121217277,0.004139782742488154,0.05634000214698176,0.011981300826117721,1.3840907897463979,1,1.3840907897463979
scaling_L10_beta_4p5,4.5,linear,stress_R1to5,0.08083283745060266,0.0011639586618233772,0.15736315497151332,0.0009732915424771121,nan,nan,40.83337491039816,3,13.611124970132721
scaling_L10_beta_4p5,4.5,linear_plus_invR,stress_R1to5,0.16132402242493527,0.012979828442439816,0.1384107935078589,0.003195721799754484,0.06186855620669718,0.00993658984155715,2.0661034473217446,2,1.0330517236608723
scaling_L12_beta_5p0,5.0,linear,main_R1to4,0.07458155054476778,0.0006764473159345469,0.1310482451760726,0.0005089092082777362,nan,nan,259.75946011292484,2,129.87973005646242
scaling_L12_beta_5p0,5.0,linear_plus_invR,main_R1to4,0.17942481647894937,0.006585841359318494,0.10208217794300012,0.001880097458603782,0.07668987650879444,0.004791877712979893,3.626998192620093,1,3.626998192620093
scaling_L12_beta_5p0,5.0,linear,stress_R1to5,0.07627684540592017,0.0006551931213215057,0.129568546964684,0.00048726446831735826,nan,nan,361.30453485458355,3,120.43484495152785
scaling_L12_beta_5p0,5.0,linear_plus_invR,stress_R1to5,0.18442415868021556,0.005775676310328447,0.10056020936588439,0.001614493468761367,0.08017416707948755,0.004254113184195889,6.1226295410123805,2,3.0613147705061903
scaling_L14_beta_5p5,5.5,linear,main_R1to4,0.07181028440339254,0.00041312487449690047,0.10903473619495285,0.0003141013603798345,nan,nan,522.8363529040561,2,261.41817645202804
scaling_L14_beta_5p5,5.5,linear_plus_invR,main_R1to4,0.16662251564866892,0.004174417206615262,0.0843678905512597,0.0011254272647339646,0.07082559435533398,0.003103019004705929,1.8677092627368215,1,1.8677092627368215
scaling_L14_beta_5p5,5.5,linear,stress_R1to5,0.07417454772606691,0.0003870319880871476,0.10692188508253309,0.0002863311508047855,nan,nan,790.5647463593674,3,263.5215821197891
scaling_L14_beta_5p5,5.5,linear_plus_invR,stress_R1to5,0.16995242494548535,0.0034365782219571675,0.08339340720952837,0.0008863694185693061,0.07318552996605376,0.002609242429769212,3.8422302254294136,2,1.9211151127147068
scaling_L16_beta_6p0,6.0,linear,main_R1to4,0.06518996791657261,0.00033115542162761354,0.09626480512902325,0.0002610813255107301,nan,nan,638.2816861996484,2,319.1408430998242
scaling_L16_beta_6p0,6.0,linear_plus_invR,main_R1to4,0.15465938733190399,0.0035626963141920875,0.07059207096177644,0.0010508194314630785,0.06428206135708336,0.0025486471270489185,2.1307491585627183,1,2.1307491585627183
scaling_L16_beta_6p0,6.0,linear,stress_R1to5,0.06677705050229377,0.00031924692011029874,0.09485223844553248,0.00024905389748990157,nan,nan,963.4886525474786,3,321.16288418249286
scaling_L16_beta_6p0,6.0,linear_plus_invR,stress_R1to5,0.158724843044439,0.0029894110958165335,0.06933077005512267,0.0008617827654927312,0.06709014530291668,0.0021687642612693053,6.530891405132036,2,3.265445702566018
scaling_L18_beta_6p0,6.0,linear,main_R1to4,0.06816777661298068,0.0002519160955836256,0.09390946007458434,0.0001805575408090762,nan,nan,1844.924515209694,2,922.462257604847
scaling_L18_beta_6p0,6.0,linear_plus_invR,main_R1to4,0.15960539473771007,0.002149649910344373,0.06916140395001413,0.0006053588539675658,0.06772582491777968,0.0015812273255086766,10.414929517462598,1,10.414929517462598
scaling_L18_beta_6p0,6.0,linear,stress_R1to5,0.07137705750997025,0.00023386047736132515,0.09118154146637258,0.00016206122922500748,nan,nan,3019.1906388832404,3,1006.3968796277468
scaling_L18_beta_6p0,6.0,linear_plus_invR,stress_R1to5,0.16416025189392158,0.001711021035921801,0.06777304429518782,0.00045730546527464615,0.07090062504661532,0.0012952129231370564,22.666436694254124,2,11.333218347127062
scaling_L20_beta_6p5,6.5,linear,main_R1to4,0.06251671757883304,0.00020885479257227673,0.08316265766707776,0.00016437337687390605,nan,nan,1748.2696809609188,2,874.1348404804594
scaling_L20_beta_6p5,6.5,linear_plus_invR,main_R1to4,0.14682104246752203,0.0020282757924684723,0.059636014474582666,0.0005865219707341154,0.061337770719678275,0.0014678794891937093,2.1453200505464443,1,2.1453200505464443
scaling_L20_beta_6p5,6.5,linear,stress_R1to5,0.06516367041038107,0.00019413390738182311,0.080796891513085,0.00014926386654857797,nan,nan,2929.312410680415,3,976.437470226805
scaling_L20_beta_6p5,6.5,linear_plus_invR,stress_R1to5,0.15083052389370977,0.0015980242706323023,0.058394197748969034,0.0004408417756733993,0.06410950590744591,0.0011870373377884747,12.448950153197613,2,6.224475076598806
scaling_L22_beta_6p5,6.5,linear,main_R1to4,0.06473317133934853,0.00022673259560025753,0.08115220968986903,0.00016140888112791714,nan,nan,1598.6534701639691,2,799.3267350819846
scaling_L22_beta_6p5,6.5,linear_plus_invR,main_R1to4,0.14690062838593576,0.0020686531118854342,0.059518785479744096,0.0005649131781685578,0.061381243729268675,0.0015360279446040512,1.7703343654019286,1,1.7703343654019286
scaling_L22_beta_6p5,6.5,linear,stress_R1to5,0.06680225144801177,0.00021426168977522672,0.07938025757247003,0.0001483891611058319,nan,nan,2377.0907920540126,3,792.3635973513375
scaling_L22_beta_6p5,6.5,linear_plus_invR,stress_R1to5,0.14974434856336316,0.001717421601598167,0.0586781148778206,0.0004504578883837198,0.06338974955731125,0.0013023106080507238,7.85155930449729,2,3.925779652248645
